2.221336704678833430e-05 7.499966919422149797e-03 -2.221336704678833430e-05 -7.499966919422149797e-03
6.629608422517776350e-03 -3.506892174482345408e-03 -6.629608422517776350e-03 3.506892174482345408e-03
5.551792681217193604e-03 -5.042578428983687799e-03 -5.551792681217193604e-03 5.042578428983687799e-03
7.435981482267379171e-03 -9.778441116213797395e-04 -7.435981482267379171e-03 9.778441116213797395e-04
7.194935381412506138e-03 -2.117287293076515128e-03 -7.194935381412506138e-03 2.117287293076515128e-03
5.320846539689227634e-06 -7.499998211860656530e-03 -5.320846539689227634e-06 7.499998211860656530e-03
6.645118743181228568e-03 3.477412015199661012e-03 -6.645118743181228568e-03 -3.477412015199661012e-03
7.499958872795104564e-03 2.479462302289903191e-05 -7.499958872795104564e-03 -2.479462302289903191e-05
1.822583202738314718e-05 7.499977648258208951e-03 -1.822583202738314718e-05 -7.499977648258208951e-03
1.292222121264785399e-05 7.499988824129104337e-03 -1.292222121264785399e-05 -7.499988824129104337e-03
7.430717200040817122e-03 1.017074435949325440e-03 -7.430717200040817122e-03 -1.017074435949325440e-03
6.934196949005126329e-03 2.857781052589416539e-03 -6.934196949005126329e-03 -2.857781052589416539e-03
4.598513692617415931e-03 5.924835205078124445e-03 -4.598513692617415931e-03 -5.924835205078124445e-03
7.423337101936339916e-03 1.069609858095645766e-03 -7.423337101936339916e-03 -1.069609858095645766e-03
2.146851718425750715e-03 -7.186169028282164868e-03 -2.146851718425750715e-03 7.186169028282164868e-03
7.496502399444580217e-03 2.290226798504590815e-04 -7.496502399444580217e-03 -2.290226798504590815e-04
7.431794553995132134e-03 1.009174212813377432e-03 -7.431794553995132134e-03 -1.009174212813377432e-03
3.205298334360122577e-03 -6.780564934015274187e-03 -3.205298334360122577e-03 6.780564934015274187e-03
7.499973177909850970e-03 -2.009296906180679893e-05 -7.499973177909850970e-03 2.009296906180679893e-05
7.460404336452484270e-03 7.696547359228133982e-04 -7.460404336452484270e-03 -7.696547359228133982e-04
7.841113256290555000e-05 -7.499590069055556835e-03 -7.841113256290555000e-05 7.499590069055556835e-03
7.133403271436690798e-03 2.316151633858680621e-03 -7.133403271436690798e-03 -2.316151633858680621e-03
